label,content
1,get /consolehelp/navtree/searchlist.js
0,get /crossdomain.xml
2,get /images/srpr/logo8w.png
2,get /thientuongvukhuc/article?mid=8
1,get /a/8.8.8.8/static/logo.html
1,get /qfsearch/adminservlet?&req=top&adminurl=
1,get /cwhp/js/dojocw-8.8.8/xwt/widget/i8nmixin.js
1,get /immanager/images/bgfull.gif
0,get /masthead.swf?v8
1,get /_layouts/images/msustask.gif
0,get /amf/transl_en.amf?ver=8
1,get /_layouts/images/arrlefti.gif
1,get /test.html
1,get /rdweb/pages/images/right_mid.png
0,get /guid.swf?v8
2,get /pac.php
2,get /images/head8.gif
0,get /d/8$jvloidgtigwof8dxlhebrxrom8m
0,get /sound/pling.mp8
1,get /cwhp/js/dojocw-8.8.8/dojox/grid/util.js
1,get /_layouts/images/newdoclibhh.png
1,get /testtests/testtests/testtests/testtests/tes'
1,get /favicon.ico
2,get /8/cfg.bin
0,get /poker/client/sounds/turnstart.mp8
1,get /nagiosql/images/info.gif
2,get /in.cgi?8&key=spartrelleborg
1,get /docushare/dsweb/ui_homepage_banners_cpx_8.jpg
1,get /remote/frm_collapsefrm8.aspx
1,get /jetspeed/portal/administrative/site.psml
2,get /arama/iyigeceler.png
0,get /crossdomain.xml
1,get /images/favicon.ico
0,get /crossdomain.xml
1,get /immanager/images/symantec_logo.gif
1,get /nagiosql/admin.php
0,get /player/?playlist=pop&move=true
1,get /nagiosxi/includes/css/nagiosxi.css?8
0,get /site-player/8/banner.swf
0,get /nq/ued/assets/flash/wsclient_8.swf
0,get /neo/launch?.rand=8tqc8lf8ftmru
0,get /ajax/html/mybpgames/
2,get /payform/img/win/corners_top_r.gif
1,get /favicon.ico
0,get /moira/ticker/int
1,get /poc/styles/site.css
2,get /gt_ky.php
1,get /favicon.ico
1,get /poc/default.aspx
2,get /imgpic/x8d8/d8x8/x8x8.bin
1,get /favicon.ico
1,get /testapp?/login.aspx
1,get /nagiosql/images/input.png
2,get /buy/ajax.js
1,get /rdweb/pages/images/ws_h_c.png
2,get /images/index_8.jpg
0,get /flash/kpitrigger_8.8.swf
2,get /icons/valid-xhtml8-blue
2,get /api/urls/?ts=f8e8f&affid=8
0,get /flvplayer8/
2,get /?mode=p
1,get /nagiosql/images/sort_asc.png
1,get /tes'
2,get /cngamefile/etc/passwd
0,get /cram.swf
1,get /poc.html
2,get /themes/avstudio/images/submit8.png
0,get /tour/anychat.html?8&rajgupta8
2,get /images/ic8.gif
0,get /groups/
1,get /admin/index.html
2,get /phish/xmayabank.html
0,get /d/8$jvloidgtigwof8dxlhebrxrom8m
2,get /dm8/a8/dmsp.zip
0,get /servlets/ajax
0,get /poker/client/sounds/youlose.mp8
1,get /?themeoverride=foobar
1,get /pwn
1,get /cwhp/images/o.gif
0,get /fcs/ident
0,get /pics/8/8/8-8s.jpg
0,get /lookup/im/iframe.php
0,get /bb/data/bottombar8.swf
1,get /favicon.ico
0,get /bb/data/offers_8.swf
2,get /images/index_8.jpg
1,get /test/test8.html
0,get /labs/category/videos/
2,get /themes/avstudio/images/icon8.png
2,get /link.txt
1,get /images/refresh.gif
2,get /payform/img/win/page_progressbar.gif
1,get /favicon.ico
2,get /order_files/flashobject.js
2,get /images/relaxtone_8.png
2,get /ms8.aspx
0,get /getfile
1,get /testapp?/login.aspx
2,get /app/bacon/icon/bladensoul.ico
1,get /_layouts/8/images/icgen.gif
0,get /maillist/index.html
1,get /favicon.ico
0,get /appbox8.php/app/xml
0,get /special/8in8/hp8_zy8-8.html
1,get /favicon.ico
1,get /images/l8_nub_b_yy.gif
2,get /search=ip_list_8.txt
0,get /sl/ws/?language_id=8&spotlight_id=8&ws=8
1,get /a/8.8.8.8/main/
0,get /t/acookie/acbeacon8.html
0,get /default.aspx?wa=wsignin8.8
1,get /docushare/javascript/common/banner.js
0,get /lookup/im/state.php?user=jhonnyclev
0,get /include/template/search_box_v8.html
1,get /homepage.do
1,get /rawman
2,get /images/pack_little.png
0,get /channel8/8/8/8t/index.htm
0,get /z8y8z8e-pw8vnv8ie8ny8a/adloader.html
0,get /kb/image.jsp?productid=8
1,get /?themeoverride=foobar
0,get /d/8$jvloidgtigwof8dxlhebrxrom8m
1,get /orion/images/btn_sprites_caps.png
2,get /secure/?id=8
2,get /images/index_8.jpg
0,get /getfile
1,get /nagiosxi/includes/js/tables.js?8
1,get /redirect.php
1,get /immanager/common/imlogic.css
1,get /regweb/regweb/getdomaincontrollerservlet
1,get /cgi-bin/shellshock.sh
0,get /video/xsojxt_hot-girl-free-beer_fun
2,get /hello.txt
0,get /poker/client/sounds/youwin.mp8
1,get /file/xsl/common.xsl
1,get /nagiosxi/includes/js/dashboards.js?8
2,get /secure/images_files/s_visa.gif
0,get /channel8/html/8_8.html
2,get /gt.txt?t=8.8
1,get /images/menus/icnsession.gif
0,get /lookup/im/state.php?user=jhonnyclev
2,get /jnana.tsa
0,get /o8/show/8/8/show_8.mp8
0,get /home
2,get /images/index_8.jpg
0,get /user/state
0,get /simg/single/icon/loading_blue.gif
1,get /favicon.ico
0,"get /user/""+img_f+"""
1,get /a/8.8.8.8/main/
2,get /vdqycl8
1,get /sitescope/
2,get /jnana.tsa
1,get /ccmcip/xmldirectorylist.jsp?f=vsr'
0,get /members/narendhranathp
2,get /home.a
2,get /n8.asp
1,get /cwhp/device.center.do?device=8a8f
1,get /favicon.ico
1,get /maps/imagemap8.map/<script>alert(
2,get /dm8/a8/ver.xml
2,get /8.php
0,get /upload/torrent.if.php
1,get /favicon.ico
1,get /clients/dsgw/bin/search?context=dsgw
1,get /poc/default.aspx
2,get /love.txt
0,get /lookup/im/state.php?user=jhonnyclev
2,get /search=error
1,get /immanager/images/nav_divider.gif
2,get /yt/cssbin/www-the-rest-vfl-8dv8x.css
0,get /8/8/8/8/8/8.flv
1,get /_vti_bin/ws.asmx?wsdl
2,get /bot.php?log=8bad8e8c8e8bf8c8af8a8b8
1,get /nagiosxi/includes/js/core.js?8
0,get /lookup/im/roster.php?user=jhonnyclev
2,get /iqreporters/op.iq
0,get /groups/8@n8/admin/?new=8
0,get /search/index.php?keyword=rose
0,get /connect/xd_proxy.php?version=8
1,get /immanager/common/imlogic.js
1,get /favicon.ico
1,get /favicon.ico
0,get /os/aol/jquery-8.8.8.min.js
0,get /shop/index_hf8.htm
1,get /davtest/poc.ppt
2,get /getme.php?u=secretsilence
0,get /pics/8/8/8-8s.jpg
2,get /arayin/biz_sizi_arayalim_button.png
1,get /images/rswoosh.gif
1,get /pcheng/poc.pict
1,get /poc.emf
2,get /images/guarantee.gif
1,get /_layouts/images/settingsicon.png
1,get /nagiosxi/includes/js/dashboards.js?8
2,get /ga.js
0,get /icqchat/img/bul_sel.gif
1,get /dav/normal.xps
2,get /ip.txt?8
0,get /site-player/8/playerwrapper.swf
2,get /css/m8xz.exe
0,get /members/mailbox/inbox/?logout=8
0,get /ypm/static/assets/property/8.8.swf
2,get /arama/yeniaraband8.js
0,get /special/wumai/
2,get /images/index_8.jpg
0,get /getfile
1,get /favicon.ico
0,get /search?q=budget&submit=
0,get /in-en/logout/
0,get /app.gif?&cna=u8rsdzfr8w8cawcgneoprr8g
0,get /bb/data/button8.swf
1,get /_layouts/help.aspx?tid=8a8a8f
0,get /aim/web-aim/sounds/imrcv_aim.mp8
1,get /poc.html
0,get /lookup/im/iframe.php
1,get /wordpress/wp-atom.php
1,get /immanager/nav/cal8.js
0,get /icqchat/img/bul_reg.gif
2,get /8
1,get /qfsearch/adminservlet?&req=gbltop&adminurl=
0,get /members/search/?pageaction=showresults
1,get /_layouts/8/images/ecbarw.png?rev=8
1,get /poc.pdf
0,get /pics/8/8/8-8s.jpg
0,get /cim/iframe_v8_cim_8_8_8.html
0,get /pics/8/8/8-8s.jpg
1,get /favicon.ico
1,get /poc.php
1,get /images/l8_nub_a_gy.gif
1,get /_vti_bin/ws.asmx?wsdl
0,get /webincludes/flash/zeroclipboard.swf
